Vignette ID #,Final Vignette,Broad Classification,Content Classification (1-7),Specific CC Code,Focus of Involvement,Continuation,Chronic,Object Severity (0-4),Threat Dimension (1-5),Primary Appraisal Domain (1-7)
6,"Your parents send you a regular check that contains a monthly grocery allowance. Today, you have some free time, so you use the mobile deposit feature on your bank's app. The check is successfully deposited into your account.",3,4,400,3,n/a,n/a,0,4,4
8,"You have a daily steps goal that is tracked by a fitness smart device you wear on your wrist. Usually, you can meet your daily goal just by going about your normal day. Today, you receive the notification that you've walked your goal amount of steps for the day.",3,5,604,1,n/a,n/a,0,1,5
20,Your professor tells you that they would like to add an optional reading to the syllabus for the course. You write down the information about this new reading and think that you would like to read it. ,3,2,102,1,n/a,n/a,0,2,2
35,"On your way to class today, there was a rally happening outside that made it difficult to access campus. You are therefore about 10 minutes late as you arrive to class. The professor gives you a look as you walk in, but you quickly take your seat and the professor treats you normally throughout the rest of class. ",3,2,101,1,0,0,1,4,1
50,"As you walk to class, one of your close friends is telling you about the bus ride they took yesterday. There was a line of people in front of them that paid their fares and took their seats without interruption. When your friend paid their fare, the bus driver asked to see the photo ID. Your friend took out their ID, and the driver nodded and let them into the bus. Your friend went about their day as usual, but wondered if the ID check was targeted at their identity. You listen to them tell the story. ",2,6,n/a,2,0,1,1,3,1
58,"It's syllabus week, and one of your classes has an extended booklist that wasn't mentioned when you had originally signed up for the class. The extra books are required for the course, but they're very expensive. You don't want to purchase the books, so you have to spend some extra time looking them up in your school's library database to see if your school has copies you can borrow. You find all the texts you need and check them out.",3,2,102,1,0,0,2,5,2
62,"You've been watching a particular TV series for as long as you can remember, and you always tune in during the weekly nighttime spot that it airs. This week, you know you'll be busy during the time the episode airs, so you set up a recording so you can watch the episode at later. Today, you find some free time to sit down and watch the recording. However, you realize that you did not record it correctly; so you have to spend some time searching online to see how you can watch the episode.",3,3,302,1,1,0,2,1,1
63,"Tonight, you decide to order delivery for dinner and enjoy a night in. You spend some time choosing which meal you feel like eating and place the order. You think you're waiting longer than you usually do, so you check the delivery status to see that your order has been delivered. You realize that you accidentally chose the wrong address to deliver your food to. You have to call the delivery company to reconcile the issue and wait longer so that a new meal can be delivered to the right address.",3,3,306,1,0,0,2,1,1
88,"You recently adopted a cat as a housepet but have found that it's messing up some of your furniture--yesterday the cat scratched the desk chair in your room. This morning, you intended to leave bedroom door closed so it couldn't have access to the furniture in there. However, you were in a rush and forgot to close the door. When you get back from class, you see that your cat got into your room and scratched up your desk and tore the blankets on your bed. You now have to spend some time looking for solutions online and buying replacement blankets.",3,3,305,1,1,1,3,2,2
91,"You and your friends have been planning to go to a concert together for months now. Finally, tickets will go on sale tomorrow. However, you've had a really tough time with money recently and don't have enough funds to pay for a ticket. You know that the rest of your friends will get to go, and you do not want to miss out on this experience.",3,4,400,1,0,1,3,3,1
94,"This morning, you tripped over a misplaced brick while walking on the street and fell onto your back. You fell pretty hard, and you have some residual pain for most the day. You use some Advil to manage the pain, but it hurts enough that you decide you need to go home and rest in bed. ",3,5,600,1,0,0,3,5,5
98,"Tonight, you go to a party with some friends. You start a conversation with a few people who you recognize from one of your classes. While in conversation, someone casually drops a slur that is offensive towards your identity and continues on with the conversation. No one stops to correct them, and the conversation continues as normal. You decide to mention that the slur is not appropriate, and the other people in the conversation laugh it off and tell you it wasn't that serious. ",3,6,n/a,1,0,1,3,3,7
104,"Your friend calls you to tell you that a pipe burst in their apartment, and now their entire space is flooded. They really need your help to clear their furniture out, mop up the floors, and assess the damage. You had the day free anyway, so you decide to go over to their place to help. The flood is substantial, so it takes you both most of the day to clean out the damage. ",2,3,302,3,0,0,3,3,1
119,"You're out for the day, running some errands and making purchases around the town you live in. When you return home, you go about your day as usual. Later in the night, you check your wallet and realize that you must have dropped several of your credit cards while out today. Now, you must retrace all of your steps and make phone calls to all the establishments you visited that day to see if any of them found your cards. Until you find the cards, you'll have a hard time making any purchases.",3,4,403,1,0,0,4,5,2
120,"Before the next semester begins, your parents call you to tell you that finances are tight.  Previously, you were not on financial aid, but now you will have to apply to get financial aid for the remaining semesters you have in college. This is the only way you'll be able to finish your degree.",3,4,400,3,0,1,4,5,2
126,"You are having a conversation with close friends about admissions processes, and the topic of affirmative action by geography comes up. You all discuss your opinion on the policy. One friend starts to describe their opinion, and they reference you as an example of affirmative action. They implied that you were granted admission to your university because of you are from a certain part of the country from which it is easier to get in. They don't see anything wrong with the comment they made, and you decide to leave.",3,6,n/a,3,0,1,4,1,1
135,"Previously, you helped your partner find the job that they are currently working at. They have felt discriminated against at work and have been complaining to you about it. Yesterday, they went to their boss to file a formal complaint, and today they call you to say that they were called in by their boss, who is not very supportive. The workplace is denying that any discrimination has taken place and your partner must now decide whether they can stay at the job or if they should quit.  ",2,6,n/a,3,1,1,4,2,2
87,"You've had a really tough semester because you decided to take several more credits over the usual credit limit. You thought you could handle the extra class, but they're all much harder than expected. Today is the last day to drop one of your classes, so you go to speak to your advising dean. Your dean approves the request and allows you to drop, but you'll have to take this class at some other point in your academic career otherwise you have to drop your minor.",3,2,102,1,0,1,3,,
110,"After being at college for a year, you start to develop your own opinions about politics in the United States. You take a few classes and talk with professors who change your outlook, and you develop a new belief system based on what you learn. When you return home for the summer, you return to an environment with your family that has very different political opinions than you do. One night, at dinner, you and your parents get into a large argument over politics in which you express your new views, and your parents are upset that you now have different beliefs. ",1,1,10,3,0,1,4,,
21,"This semester, you've been working in a restaurant near your college campus to make some extra money. Today is one of your regular shifts and it is about as busy as it would normally be. All staff members are working, and you have the same tables you usually do. You wait on tables, serve food and drinks, and take care of the customers. You make about the same amount in tips as you normally do during this shift time.",3,2,205,1,na,na,0,,
128,"You are in an interview for a club position that you feel you are well qualified for and would look great on your resume. The interviewer asked you a question that you feel unprepared for about some of your prior work experience. In the moment, you decide to lie in order to get through your answer. Later that day, you get an email from the interviewer that they fact-checked your interview with one of the recommenders you provided on your application. They see that you lied about your past experiences. Unless you can come up with a valid reason for the lie, you will be disqualified from the position.",3,7,906,1,0,0,4,,
79,"One of your parents calls you to tell you about their ongoing issues with their car. Earlier this week, they called you, stressed, because they had bumped the back of the car into a pole while reversing. They had to take it into the shop to be fixed. Today, the mechanic got back to them and said that they would need to keep the car for a few weeks. This means your parent will need to take lengthy public transit to work during this time period.  ",2,3,302,3,1,1,2,,
66,"You find a local babysitting gig in your area so that you can save up some extra spending money. The family agrees to pay you at an average rate, and during your first few sessions the kids are well behaved. At the end of the weekend, the family gives you payment in the form of a check. When you go to your bank to cash the check, the check ""bounces"" because the check writer has insufficient funds in their account. You call the family and they apologize, saying that a check that they had deposited from their work had bounced. They will submit a check tomorrow, at which point you will be able to deposit yours. ",3,4,400,3,0,0,2,,
33,"You and a close friend arrange for an Uber to pick you up from dinner. When you leave the restaurant, you hop into the only car outside that matches the description provided on the app. The driver is startled, and you and your friend realize you got into the wrong vehicle. You apologize to the driver and get out. Because you missed your actual car, your actual Uber canceled your ride, and now you must request a new one.",3,7,904,3,0,0,1,,
114,"At your university, you've been interested in earning a minor that you think will be very helpful in your career path. You must go through an application process to get a minor in this field of study, and it's usually a competitive opportunity. You spent an entire semester crafting essays and arranging for recommendations. Today, you get the news that you've been denied acceptance into the program. Now, you will not be able to receive this minor on your degree and must reconsider your academic options.",3,2,100,1,0,1,4,,
